1000,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1500,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
2000,7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
2500,12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
3000,18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
3500,25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25
4000,33, 33, 33, 33, 33, 33, 33, 33, 34, 33, 33, 34, 33, 34, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33
4500,43, 43, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44
5000,55, 55, 55, 55, 55, 55, 55, 54, 55, 54, 54, 54, 54, 53, 53, 53, 53, 53, 54, 54, 54, 54, 54, 54, 54
5500,65, 65, 65, 90, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 66, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65
6000,79, 79, 79, 79, 79, 80, 79, 79, 79, 79, 80, 80, 80, 79, 80, 80, 79, 79, 80, 80, 79, 80, 81, 80, 80
6500,95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 96, 94, 95, 94, 94, 94, 94, 94, 95, 94, 94, 94, 95, 94
7000,110, 110, 109, 110, 110, 109, 109, 110, 110, 109, 109, 110, 110, 109, 110, 110, 110, 110, 110, 111, 110, 110, 110, 110, 111
7500,126, 127, 126, 126, 126, 126, 126, 126, 125, 126, 126, 128, 126, 126, 127, 126, 126, 127, 126, 126, 127, 126, 126, 126, 126
8000,146, 146, 147, 146, 146, 146, 147, 146, 147, 147, 148, 148, 147, 148, 147, 147, 147, 146, 145, 145, 146, 147, 146, 147, 146
