1000,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1500,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2000,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1
2500,2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2
3000,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
3500,5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
4000,7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
4500,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
5000,11, 12, 11, 12, 11, 11, 11, 11, 11, 12, 12, 12, 12, 11, 12, 12, 11, 11, 11, 11, 12, 12, 12, 12, 11
5500,14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 15, 14, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14
6000,18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
6500,22, 22, 22, 22, 22, 22, 22, 22, 22, 21, 21, 22, 21, 22, 21, 21, 22, 21, 21, 22, 21, 22, 21, 22, 21
7000,26, 26, 25, 25, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 25, 25, 26, 25, 26, 26, 26
7500,30, 30, 29, 30, 30, 33, 33, 30, 30, 30, 30, 30, 30, 29, 29, 30, 30, 30, 30, 35, 30, 30, 30, 30, 30
8000,39, 35, 35, 35, 34, 35, 35, 34, 35, 34, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 35, 36, 36, 35
8500,40, 40, 41, 40, 40, 42, 40, 40, 41, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39, 40, 40, 39, 40
9000,46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 45, 45, 46, 45, 46, 46, 46, 46, 46, 46, 46, 45, 45, 46
9500,52, 51, 51, 51, 52, 51, 51, 51, 51, 51, 51, 51, 51, 52, 51, 51, 51, 50, 51, 51, 52, 51, 60, 51, 52
10000,59, 59, 60, 59, 59, 59, 58, 59, 59, 59, 59, 67, 59, 59, 59, 59, 59, 59, 59, 60, 59, 59, 58, 59, 59
10500,66, 66, 66, 67, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 65, 65, 66, 66, 66, 66, 66
11000,74, 74, 74, 74, 73, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 75, 74
11500,83, 83, 83, 83, 84, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82
12000,91, 91, 90, 91, 89, 90, 90, 90, 95, 90, 91, 91, 91, 91, 91, 95, 91, 91, 91, 91, 90, 91, 91, 91, 91
12500,101, 101, 106, 102, 101, 101, 101, 101, 101, 101, 101, 101, 101, 100, 101, 100, 105, 101, 101, 101, 101, 101, 106, 101, 101
13000,112, 111, 111, 117, 117, 112, 116, 116, 113, 111, 117, 111, 112, 112, 115, 111, 111, 111, 111, 111, 116, 117, 116, 117, 112
13500,122, 122, 121, 122, 122, 121, 122, 121, 122, 121, 121, 127, 122, 122, 121, 121, 122, 123, 121, 128, 121, 121, 121, 121, 121
14000,132, 132, 132, 132, 132, 131, 131, 132, 132, 132, 131, 132, 131, 132, 132, 132, 132, 132, 132, 132, 132, 132, 132, 132, 131
14500,143, 142, 143, 143, 143, 143, 143, 142, 143, 143, 143, 143, 143, 143, 142, 143, 143, 143, 143, 143, 142, 142, 142, 143, 143
15000,157, 164, 162, 157, 157, 156, 157, 157, 157, 161, 157, 157, 162, 162, 153, 156, 156, 156, 156, 155, 156, 156, 156, 156, 156
15500,170, 171, 171, 171, 170, 172, 171, 172, 171, 171, 171, 171, 172, 172, 171, 172, 179, 172, 179, 181, 172, 172, 177, 172, 172
16000,185, 195, 186, 186, 186, 185, 186, 185, 186, 186, 185, 185, 195, 196, 195, 193, 186, 190, 185, 186, 186, 186, 186, 186, 194
16500,209, 200, 210, 200, 201, 201, 202, 201, 200, 208, 200, 202, 200, 200, 200, 201, 211, 202, 200, 201, 201, 209, 200, 211, 210
17000,222, 216, 216, 216, 216, 215, 215, 215, 216, 216, 228, 217, 219, 218, 222, 218, 218, 217, 218, 219, 218, 218, 217, 219, 217
17500,233, 232, 233, 233, 245, 233, 243, 232, 233, 233, 233, 245, 232, 233, 233, 245, 243, 234, 232, 233, 234, 234, 233, 245, 233
18000,260, 247, 247, 246, 244, 245, 246, 245, 246, 252, 245, 245, 245, 246, 245, 246, 244, 245, 245, 244, 245, 244, 244, 245, 244
18500,261, 266, 261, 262, 261, 262, 262, 263, 271, 265, 263, 262, 263, 262, 275, 276, 263, 262, 263, 262, 263, 262, 261, 262, 262
19000,281, 280, 281, 281, 280, 279, 280, 281, 280, 284, 296, 288, 281, 281, 281, 283, 279, 280, 280, 281, 280, 296, 284, 282, 282
19500,301, 302, 303, 301, 302, 301, 303, 303, 304, 302, 302, 314, 307, 302, 301, 302, 302, 316, 318, 303, 309, 302, 319, 302, 302
20000,323, 339, 322, 324, 329, 323, 340, 340, 323, 337, 322, 323, 323, 323, 323, 322, 321, 322, 325, 341, 328, 322, 323, 323, 322
20500,344, 355, 363, 349, 344, 345, 345, 344, 345, 349, 346, 366, 346, 364, 364, 362, 346, 348, 345, 342, 343, 341, 342, 343, 343
21000,371, 363, 365, 363, 363, 367, 368, 364, 364, 364, 361, 387, 387, 386, 385, 386, 387, 386, 385, 387, 384, 387, 387, 365, 365
21500,385, 386, 386, 407, 387, 386, 388, 388, 387, 388, 388, 387, 385, 384, 387, 387, 389, 387, 412, 388, 387, 409, 410, 409, 395
22000,404, 421, 429, 429, 404, 425, 406, 402, 403, 404, 403, 403, 405, 412, 405, 426, 425, 412, 428, 427, 421, 404, 426, 426, 402
22500,428, 429, 429, 428, 427, 429, 427, 427, 429, 427, 428, 427, 427, 427, 428, 428, 430, 428, 455, 453, 427, 427, 429, 427, 429
23000,449, 450, 447, 448, 447, 448, 448, 449, 450, 467, 474, 450, 449, 448, 448, 447, 448, 448, 448, 475, 447, 448, 449, 449, 450
23500,497, 503, 498, 477, 470, 471, 470, 468, 469, 499, 501, 468, 469, 468, 498, 469, 468, 469, 470, 472, 468, 470, 501, 470, 471
24000,499, 502, 528, 496, 502, 503, 511, 498, 514, 527, 526, 499, 494, 495, 498, 496, 496, 493, 497, 498, 519, 499, 497, 514, 526
24500,522, 523, 545, 525, 562, 561, 560, 558, 562, 558, 560, 522, 522, 558, 523, 523, 523, 555, 524, 562, 524, 559, 525, 524, 524
25000,550, 550, 549, 547, 581, 579, 581, 580, 550, 549, 580, 550, 553, 549, 549, 551, 550, 579, 581, 550, 548, 547, 549, 578, 584
25500,579, 617, 580, 612, 583, 581, 580, 579, 580, 611, 612, 613, 589, 580, 580, 579, 579, 576, 581, 579, 578, 581, 616, 582, 580
26000,604, 606, 641, 629, 605, 605, 602, 603, 605, 606, 607, 647, 644, 643, 640, 639, 640, 603, 639, 642, 603, 602, 604, 625, 633
26500,631, 629, 667, 629, 625, 624, 624, 628, 627, 626, 625, 624, 626, 628, 624, 626, 627, 625, 625, 658, 664, 625, 628, 627, 625
27000,682, 699, 667, 699, 660, 659, 696, 678, 654, 657, 656, 655, 654, 657, 654, 656, 653, 657, 659, 658, 694, 656, 661, 700, 698
27500,680, 681, 682, 725, 678, 678, 686, 722, 683, 723, 725, 727, 727, 682, 683, 683, 724, 678, 724, 678, 724, 683, 680, 682, 681
28000,710, 714, 715, 716, 714, 743, 715, 715, 716, 761, 711, 713, 712, 711, 714, 714, 758, 713, 712, 748, 726, 713, 715, 713, 752
28500,742, 746, 746, 766, 737, 752, 741, 742, 740, 747, 746, 769, 743, 759, 741, 745, 744, 741, 739, 738, 742, 785, 791, 741, 739
29000,815, 814, 790, 816, 815, 773, 766, 763, 804, 786, 769, 770, 770, 773, 815, 820, 767, 815, 820, 821, 775, 783, 776, 816, 815
29500,851, 839, 862, 810, 864, 857, 808, 804, 827, 804, 845, 808, 855, 855, 855, 849, 818, 835, 848, 806, 856, 852, 854, 861, 804
30000,841, 837, 838, 842, 880, 855, 898, 875, 898, 901, 837, 836, 874, 838, 835, 839, 835, 840, 841, 844, 864, 899, 897, 899, 843
30500,923, 905, 925, 925, 928, 925, 930, 924, 926, 869, 870, 923, 923, 927, 878, 931, 927, 931, 877, 867, 867, 866, 921, 867, 925
31000,955, 893, 903, 953, 918, 902, 902, 943, 964, 960, 968, 970, 923, 969, 966, 965, 915, 935, 925, 962, 960, 910, 961, 904, 953
31500,973, 930, 930, 989, 991, 988, 988, 965, 933, 932, 933, 989, 983, 934, 942, 990, 994, 987, 991, 930, 938, 932, 933, 930, 931
32000,956, 1031, 958, 1030, 1019, 959, 1034, 1029, 981, 1030, 964, 1032, 966, 1023, 958, 957, 961, 1043, 955, 956, 964, 1006, 963, 965, 966
32500,1081, 1006, 1014, 1008, 1023, 1013, 1008, 1019, 1074, 1082, 1077, 1025, 999, 1069, 1060, 1036, 1031, 1012, 1007, 1046, 1081, 998, 1004, 1002, 1025
33000,1095, 1101, 1052, 1107, 1099, 1043, 1035, 1032, 1039, 1082, 1103, 1085, 1107, 1046, 1098, 1060, 1036, 1034, 1038, 1036, 1041, 1104, 1116, 1105, 1042
33500,1069, 1105, 1144, 1144, 1137, 1148, 1069, 1075, 1143, 1073, 1079, 1076, 1073, 1149, 1149, 1085, 1068, 1158, 1080, 1153, 1101, 1083, 1090, 1080, 1119
34000,1112, 1100, 1106, 1101, 1113, 1107, 1188, 1119, 1181, 1118, 1125, 1113, 1114, 1110, 1110, 1178, 1133, 1130, 1116, 1103, 1107, 1107, 1104, 1101, 1103
34500,1147, 1148, 1173, 1147, 1135, 1185, 1219, 1164, 1141, 1197, 1144, 1217, 1182, 1148, 1222, 1210, 1136, 1217, 1135, 1140, 1133, 1136, 1217, 1163, 1142
