100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
600,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
850,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1100,0,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1350,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1600,0,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11
1850,0,15,15,15,17,16,16,16,15,15,15,15,15,15,15,15,16,15,15,16,15,15,16,16,15
2100,0,20,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,20,21,20,21,20,20
2350,0,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,26,26,26,26,26,27
2600,0,32,32,33,32,31,31,31,32,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32
2850,0,38,37,39,39,40,39,39,39,38,38,38,38,39,38,39,38,38,38,38,37,37,38,39,37
3100,0,44,44,47,44,44,44,44,45,44,44,44,44,44,44,44,44,44,44,44,44,45,44,44,44
3350,0,52,53,53,53,53,53,53,54,54,54,55,55,54,54,54,54,54,54,55,53,53,53,53,54
3600,0,62,61,62,64,61,62,62,62,62,61,59,63,61,62,62,62,62,62,62,62,62,61,61,61
3850,0,70,71,72,71,71,72,71,70,73,68,67,67,67,68,68,72,72,71,71,68,68,68,68,67
4100,0,76,76,76,76,76,77,76,77,76,77,77,76,76,76,77,77,77,77,77,77,77,77,76,77
4350,0,88,87,87,87,86,86,86,86,86,86,87,88,87,86,87,86,87,86,87,87,89,89,87,89
4600,0,98,100,97,98,98,98,98,111,105,96,96,97,98,97,97,97,97,96,98,107,95,98,97,96
4850,0,107,107,107,108,108,108,108,107,108,108,107,108,108,108,108,108,108,108,108,108,108,107,108,107
5100,0,119,121,120,120,121,121,120,119,121,118,118,118,121,118,121,118,121,118,118,121,117,118,117,120
5350,0,130,130,130,130,130,130,130,130,130,131,131,130,130,132,132,132,132,131,131,131,130,132,137,135
5600,0,145,145,145,146,144,143,142,146,146,145,142,144,142,143,142,144,144,144,144,145,146,143,142,148
5850,0,158,157,158,155,156,155,156,155,156,156,156,158,159,157,158,158,159,158,157,156,157,157,158,158
6100,0,173,172,171,172,173,174,171,173,174,174,173,172,171,170,172,175,174,176,172,174,176,174,176,178
6350,0,189,190,185,181,183,183,182,183,182,182,184,184,187,185,186,191,184,185,185,186,184,185,184,182
6600,0,202,199,201,197,197,200,195,196,195,201,195,198,195,196,199,198,195,203,200,195,197,198,200,196
6850,0,210,216,211,213,212,213,213,213,213,212,212,214,216,219,216,216,221,213,213,211,211,214,209,212
7100,0,229,231,231,231,230,231,231,231,227,227,226,226,227,227,227,227,230,231,226,232,232,226,227,226
7350,1,246,245,246,248,251,246,247,250,250,251,245,245,247,255,248,251,251,250,250,246,247,247,252,255
7600,1,259,260,261,265,260,259,262,264,265,264,264,263,264,266,266,265,266,268,264,265,261,259,260,260
7850,1,277,277,278,282,280,289,280,281,280,280,279,283,282,282,283,285,280,283,282,283,281,280,281,280
8100,1,300,301,308,300,300,295,297,299,304,303,295,297,294,294,295,294,295,304,302,299,300,296,298,306
8350,1,317,314,314,316,316,322,321,316,320,317,320,320,321,322,317,317,317,318,318,321,318,318,319,320
8600,1,337,335,336,335,334,336,340,335,341,336,337,339,343,341,336,336,342,337,342,342,336,336,338,341
8850,1,372,353,355,357,360,356,357,355,359,354,355,356,356,359,358,357,356,363,358,355,356,354,355,362
9100,1,376,375,375,381,377,376,381,376,380,375,375,376,377,378,383,378,377,382,380,375,378,374,377,374
9350,1,397,396,405,398,391,389,389,400,399,403,396,398,398,395,398,394,398,394,399,392,388,388,388,388
9600,1,410,416,420,415,424,419,420,419,414,413,417,417,417,412,418,421,424,418,425,427,417,418,418,414
9850,1,442,440,434,433,448,440,438,440,433,435,437,441,443,432,436,445,435,433,433,440,441,442,435,450
