10000,14, 14, 14, 15, 15, 14, 14, 15, 15, 14, 14, 14, 14, 15, 14, 14, 15, 15, 14, 15, 15, 15, 14, 14, 14
25000,40, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39, 40, 40, 40, 40, 40, 41, 39, 39, 39, 40, 40, 39
40000,64, 64, 64, 65, 64, 63, 63, 64, 64, 63, 64, 63, 64, 64, 63, 63, 64, 64, 64, 64, 64, 63, 63, 64, 64
55000,101, 102, 101, 100, 101, 100, 100, 102, 101, 99, 99, 100, 99, 99, 99, 99, 99, 99, 100, 99, 100, 100, 100, 100, 100
70000,122, 124, 122, 121, 121, 121, 122, 121, 121, 122, 121, 122, 120, 123, 122, 122, 122, 120, 121, 122, 121, 121, 122, 122, 122
85000,152, 150, 151, 151, 153, 151, 151, 151, 152, 152, 152, 149, 150, 151, 151, 151, 152, 151, 151, 151, 152, 151, 153, 153, 151
100000,171, 170, 167, 169, 171, 170, 168, 169, 168, 168, 168, 168, 167, 168, 167, 168, 168, 168, 168, 171, 168, 169, 169, 168, 167
115000,194, 193, 197, 197, 197, 193, 196, 194, 196, 197, 197, 194, 194, 199, 196, 195, 195, 198, 198, 197, 196, 200, 195, 197, 197
130000,235, 233, 234, 234, 235, 237, 235, 236, 235, 233, 235, 235, 237, 236, 236, 237, 235, 232, 235, 235, 232, 233, 234, 235, 232
145000,256, 263, 257, 264, 259, 261, 258, 259, 259, 263, 263, 260, 259, 260, 261, 258, 258, 261, 260, 257, 256, 257, 257, 256, 257
160000,291, 290, 287, 287, 292, 290, 291, 291, 289, 288, 289, 287, 288, 286, 290, 291, 290, 289, 286, 285, 289, 292, 290, 290, 290
175000,340, 345, 338, 338, 341, 341, 340, 344, 339, 341, 343, 340, 340, 344, 343, 342, 346, 346, 339, 345, 337, 340, 340, 345, 346
190000,336, 335, 342, 338, 334, 335, 333, 336, 338, 336, 338, 337, 341, 336, 339, 337, 336, 339, 336, 335, 331, 341, 333, 336, 338
205000,369, 368, 367, 368, 371, 364, 366, 367, 368, 370, 368, 366, 377, 375, 368, 365, 367, 369, 369, 366, 365, 368, 361, 366, 367
220000,397, 403, 396, 395, 401, 402, 395, 391, 398, 402, 402, 399, 397, 399, 400, 406, 397, 402, 397, 402, 396, 402, 397, 396, 398
235000,466, 463, 467, 472, 470, 468, 468, 472, 471, 466, 466, 473, 479, 476, 470, 469, 471, 464, 469, 468, 476, 467, 465, 470, 469
