10000,18, 15, 15, 15, 15, 15, 15, 15, 19, 15, 15, 15, 15, 15, 15, 15, 16, 15, 15, 15, 15, 15, 15, 16, 15
25000,38, 37, 38, 39, 37, 37, 39, 38, 38, 37, 37, 37, 38, 37, 38, 37, 38, 38, 37, 37, 38, 38, 37, 38, 37
40000,65, 64, 65, 67, 67, 65, 66, 65, 64, 65, 64, 66, 64, 64, 65, 66, 65, 65, 66, 64, 67, 64, 64, 66, 67
55000,91, 93, 92, 91, 94, 92, 93, 93, 91, 92, 93, 91, 92, 90, 89, 92, 89, 95, 90, 89, 90, 90, 92, 91, 89
70000,119, 118, 118, 118, 120, 119, 119, 120, 118, 120, 120, 118, 118, 120, 120, 121, 120, 123, 120, 118, 117, 119, 118, 119, 118
85000,147, 146, 146, 146, 147, 152, 146, 151, 148, 146, 152, 147, 146, 147, 145, 146, 144, 144, 146, 145, 144, 150, 146, 145, 144
100000,175, 182, 177, 177, 174, 178, 174, 174, 173, 172, 178, 177, 177, 173, 177, 175, 177, 175, 180, 177, 175, 177, 177, 175, 178
115000,204, 203, 199, 204, 203, 199, 200, 203, 203, 203, 202, 204, 202, 200, 200, 200, 198, 198, 206, 202, 202, 201, 199, 197, 200
130000,239, 233, 235, 237, 234, 234, 237, 229, 228, 232, 231, 232, 231, 235, 233, 231, 229, 238, 231, 231, 233, 231, 237, 231, 232
145000,274, 276, 272, 277, 276, 274, 272, 274, 274, 279, 272, 277, 279, 275, 277, 273, 270, 274, 278, 276, 277, 274, 277, 276, 275
160000,289, 295, 292, 298, 296, 298, 297, 299, 292, 295, 294, 299, 299, 292, 297, 298, 294, 296, 298, 293, 293, 288, 297, 301, 292
175000,309, 320, 312, 315, 313, 317, 312, 315, 307, 314, 309, 312, 318, 316, 314, 314, 312, 315, 309, 314, 301, 309, 308, 314, 306
190000,347, 347, 353, 352, 351, 354, 352, 352, 352, 348, 347, 353, 353, 358, 346, 354, 354, 347, 352, 351, 349, 356, 349, 349, 349
