10000,2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
25000,3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
40000,6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
55000,8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
70000,11, 11, 11, 12, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11
85000,14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14
100000,16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 16, 16
115000,19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19
130000,22, 22, 22, 23, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 23, 22, 22, 22, 22, 23
145000,24, 25, 25, 25, 24, 25, 24, 24, 24, 24, 24, 24, 25, 24, 24, 24, 24, 24, 24, 25, 24, 24, 24, 24, 25
160000,28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28
175000,30, 30, 30, 30, 31, 30, 30, 30, 30, 30, 31, 30, 30, 30, 30, 30, 31, 30, 30, 30, 30, 30, 30, 30, 30
190000,34, 34, 36, 34, 34, 34, 34, 34, 36, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34
205000,38, 37, 37, 37, 37, 38, 37, 37, 37, 37, 38, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 37, 37, 38, 37
220000,38, 38, 38, 38, 38, 38, 37, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 40, 37, 37, 38, 37, 38
235000,41, 41, 41, 42, 41, 41, 41, 41, 42, 41, 41, 41, 41, 42, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 42
250000,45, 45, 45, 45, 45, 45, 45, 46, 45, 45, 45, 45, 46, 45, 45, 45, 45, 46, 45, 45, 45, 45, 45, 45, 45
265000,48, 49, 48, 48, 48, 48, 48, 48, 48, 49, 48, 48, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49
280000,51, 52, 51, 53, 52, 52, 52, 52, 51, 52, 51, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52
295000,53, 54, 53, 53, 53, 53, 53, 53, 53, 54, 53, 53, 53, 54, 52, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53
310000,56, 55, 55, 56, 56, 55, 55, 56, 55, 55, 55, 56, 55, 56, 56, 56, 56, 56, 56, 56, 56, 55, 56, 56, 56
325000,60, 61, 60, 60, 61, 61, 61, 61, 60, 61, 60, 61, 60, 61, 61, 61, 61, 62, 61, 61, 61, 61, 61, 61, 61
340000,62, 62, 62, 63, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62
355000,67, 68, 67, 67, 67, 68, 67, 67, 67, 68, 67, 67, 67, 68, 67, 67, 67, 68, 67, 68, 67, 68, 67, 67, 67
370000,69, 69, 70, 70, 69, 69, 69, 70, 69, 69, 69, 70, 69, 69, 69, 70, 70, 69, 69, 70, 69, 69, 69, 70, 69
385000,75, 76, 75, 76, 75, 76, 75, 75, 75, 76, 75, 75, 75, 76, 75, 75, 75, 76, 76, 75, 75, 76, 75, 75, 76
400000,74, 74, 74, 75, 75, 75, 75, 74, 75, 74, 74, 74, 75, 74, 74, 75, 74, 74, 74, 75, 74, 74, 75, 75, 74
