100,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
200,2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
250,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
300,7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
350,10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 10, 10, 10
400,16, 15, 15, 15, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 16, 16
450,21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 22, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
500,28, 28, 28, 28, 29, 28, 28, 28, 29, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28
550,37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37
600,47, 47, 47, 46, 46, 47, 46, 46, 47, 46, 47, 46, 46, 47, 46, 47, 47, 46, 46, 46, 46, 47, 46, 47, 46
650,58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 59, 58, 58, 58, 58, 58
700,72, 71, 72, 71, 71, 72, 71, 71, 71, 71, 72, 71, 71, 72, 72, 72, 72, 71, 72, 71, 72, 72, 71, 72, 72
750,87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 86, 86, 86, 87, 86, 87, 87, 87, 87, 87, 87, 87, 87, 87
800,104, 104, 104, 104, 104, 104, 104, 104, 104, 105, 106, 105, 105, 105, 105, 103, 104, 103, 103, 104, 104, 104, 104, 105, 104
850,124, 124, 124, 124, 125, 125, 125, 124, 124, 125, 125, 125, 125, 125, 125, 126, 125, 125, 125, 126, 126, 125, 126, 125, 126
900,148, 148, 147, 148, 147, 148, 147, 148, 148, 147, 148, 147, 147, 147, 147, 148, 147, 148, 148, 147, 148, 147, 147, 148, 148
