100,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
200,2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
250,4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5
300,7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
350,11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11
400,15, 15, 16, 15, 15, 15, 16, 15, 15, 15, 16, 15, 15, 15, 16, 15, 15, 15, 15, 16, 15, 15, 15, 16, 15
450,21, 22, 22, 21, 22, 21, 22, 21, 21, 21, 22, 21, 21, 22, 21, 22, 21, 22, 21, 21, 21, 21, 22, 21, 22
500,29, 29, 28, 29, 28, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 28, 29, 29, 29, 29, 29, 29, 29
550,38, 38, 37, 37, 38, 37, 38, 38, 37, 38, 38, 37, 38, 38, 37, 38, 38, 37, 38, 37, 38, 37, 37, 39, 37
600,48, 47, 47, 48, 47, 47, 47, 47, 48, 48, 48, 46, 48, 48, 47, 47, 48, 47, 47, 47, 48, 47, 47, 48, 47
650,60, 59, 59, 59, 60, 59, 59, 59, 60, 59, 59, 60, 61, 59, 60, 60, 61, 60, 61, 60, 60, 62, 60, 61, 60
700,74, 74, 74, 75, 73, 75, 75, 74, 73, 74, 74, 74, 73, 74, 73, 74, 74, 75, 75, 74, 74, 73, 74, 74, 74
750,90, 89, 90, 90, 89, 89, 91, 89, 89, 90, 89, 90, 90, 88, 89, 89, 89, 89, 91, 88, 88, 92, 90, 89, 90
800,107, 108, 108, 108, 108, 107, 107, 107, 108, 108, 106, 106, 106, 108, 107, 107, 108, 108, 106, 107, 105, 106, 107, 105, 106
850,126, 126, 126, 125, 125, 126, 126, 125, 125, 127, 125, 127, 125, 126, 127, 126, 126, 125, 126, 126, 125, 125, 125, 126, 125
900,149, 150, 150, 147, 148, 149, 149, 148, 147, 147, 148, 148, 147, 148, 149, 148, 150, 147, 146, 152, 150, 148, 150, 151, 150
950,175, 173, 174, 175, 174, 172, 174, 173, 174, 174, 173, 173, 175, 173, 174, 174, 174, 174, 175, 173, 173, 174, 173, 175, 173
1000,201, 202, 201, 202, 201, 200, 202, 201, 200, 201, 202, 200, 199, 200, 200, 201, 200, 202, 201, 200, 201, 200, 200, 199, 200
1050,232, 232, 230, 228, 229, 226, 228, 229, 228, 230, 227, 228, 226, 228, 226, 228, 228, 229, 228, 228, 229, 228, 231, 227, 228
1100,262, 261, 261, 262, 260, 261, 260, 260, 261, 261, 263, 260, 263, 264, 262, 262, 266, 265, 262, 264, 264, 262, 262, 263, 265
1150,298, 300, 295, 297, 301, 301, 299, 298, 297, 299, 298, 300, 299, 298, 298, 298, 300, 299, 299, 302, 299, 296, 297, 294, 296
1200,336, 338, 333, 338, 337, 335, 335, 335, 336, 333, 335, 336, 335, 335, 337, 341, 341, 340, 340, 339, 342, 341, 338, 337, 336
1250,377, 378, 377, 376, 378, 380, 378, 378, 378, 377, 378, 374, 378, 378, 381, 375, 376, 377, 377, 381, 379, 375, 379, 375, 377
1300,423, 428, 425, 423, 421, 424, 422, 420, 422, 422, 422, 421, 425, 425, 427, 422, 423, 425, 424, 424, 425, 424, 428, 432, 424
