10000,31, 19, 19, 22, 19, 21, 19, 20, 21, 19, 18, 22, 19, 18, 18, 18, 20, 19, 18, 18, 21, 18, 18, 19, 19
25000,54, 56, 56, 56, 58, 57, 49, 54, 56, 55, 57, 58, 50, 54, 55, 54, 57, 56, 56, 51, 54, 55, 57, 56, 81
40000,101, 102, 94, 101, 100, 102, 106, 98, 103, 102, 103, 103, 102, 99, 99, 99, 103, 103, 102, 103, 100, 101, 100, 101, 99
55000,154, 154, 158, 154, 155, 154, 157, 153, 154, 154, 155, 153, 156, 156, 156, 161, 157, 162, 151, 157, 160, 156, 166, 155, 158
70000,200, 211, 186, 195, 199, 205, 185, 206, 199, 194, 197, 209, 191, 216, 195, 194, 203, 197, 190, 210, 201, 199, 203, 187, 197
85000,254, 249, 229, 258, 250, 247, 254, 246, 257, 232, 258, 262, 259, 255, 257, 248, 254, 245, 249, 244, 244, 254, 237, 258, 252
100000,301, 289, 299, 280, 305, 282, 299, 285, 300, 286, 290, 288, 300, 285, 289, 290, 298, 292, 289, 301, 300, 286, 299, 289, 296
115000,336, 335, 319, 352, 325, 337, 333, 341, 329, 331, 339, 333, 327, 338, 343, 332, 338, 343, 329, 344, 340, 349, 334, 339, 354
130000,393, 389, 392, 377, 387, 395, 375, 392, 398, 380, 390, 395, 384, 395, 399, 387, 397, 401, 387, 394, 398, 385, 399, 399, 393
145000,488, 469, 468, 467, 479, 477, 488, 485, 483, 466, 491, 498, 489, 466, 483, 475, 475, 477, 476, 485, 484, 491, 478, 479, 485
160000,540, 527, 527, 518, 523, 525, 517, 521, 519, 525, 540, 529, 541, 529, 520, 524, 525, 517, 517, 527, 530, 523, 524, 532, 536
175000,541, 524, 539, 544, 519, 545, 565, 544, 555, 552, 531, 545, 547, 525, 532, 552, 543, 546, 521, 541, 537, 547, 541, 558, 534
190000,646, 651, 619, 626, 632, 638, 642, 617, 646, 640, 623, 628, 627, 631, 627, 626, 630, 622, 614, 631, 637, 632, 621, 647, 650
205000,748, 739, 745, 742, 718, 756, 729, 735, 770, 758, 774, 749, 756, 750, 780, 760, 782, 743, 755, 753, 773, 731, 780, 761, 743
220000,815, 810, 787, 802, 781, 798, 797, 786, 793, 788, 785, 795, 807, 796, 781, 806, 777, 788, 787, 800, 798, 783, 793, 780, 790
235000,905, 855, 901, 871, 889, 860, 882, 864, 853, 868, 903, 874, 905, 898, 859, 898, 890, 891, 853, 857, 888, 856, 900, 881, 874
250000,900, 906, 907, 910, 899, 902, 911, 932, 903, 898, 903, 914, 907, 913, 921, 928, 910, 908, 898, 899, 894, 911, 900, 903, 915
265000,963, 948, 955, 943, 948, 950, 954, 909, 995, 953, 960, 971, 940, 946, 942, 950, 964, 950, 964, 954, 960, 971, 961, 972, 976
280000,1118, 1111, 1124, 1130, 1114, 1112, 1104, 1120, 1133, 1106, 1111, 1142, 1126, 1104, 1162, 1124, 1098, 1133, 1168, 1125, 1139, 1096, 1116, 1141, 1133
295000,1170, 1167, 1152, 1202, 1166, 1186, 1125, 1155, 1146, 1133, 1180, 1128, 1154, 1171, 1166, 1149, 1153, 1167, 1155, 1162, 1145, 1159, 1148, 1158, 1158
310000,1105, 1124, 1068, 1153, 1131, 1095, 1118, 1102, 1135, 1096, 1079, 1104, 1105, 1125, 1105, 1111, 1110, 1135, 1102, 1094, 1092, 1122, 1121, 1118, 1104
325000,1279, 1298, 1261, 1309, 1287, 1286, 1295, 1306, 1278, 1347, 1304, 1307, 1298, 1300, 1287, 1323, 1305, 1284, 1283, 1353, 1303, 1303, 1299, 1270, 1323
340000,1253, 1244, 1225, 1302, 1238, 1287, 1239, 1229, 1268, 1248, 1279, 1196, 1237, 1255, 1244, 1244, 1251, 1243, 1271, 1238, 1238, 1244, 1304, 1256, 1282
355000,1412, 1382, 1394, 1400, 1482, 1434, 1423, 1446, 1432, 1449, 1467, 1422, 1456, 1441, 1459, 1400, 1414, 1435, 1449, 1406, 1450, 1369, 1387, 1396, 1390
370000,1455, 1436, 1371, 1454, 1413, 1401, 1418, 1451, 1446, 1431, 1450, 1442, 1472, 1457, 1453, 1461, 1437, 1426, 1427, 1399, 1432, 1443, 1421, 1414, 1433
385000,1366, 1392, 1382, 1384, 1441, 1390, 1368, 1392, 1365, 1434, 1410, 1380, 1393, 1416, 1408, 1414, 1382, 1360, 1366, 1453, 1379, 1447, 1437, 1375, 1436
400000,1497, 1515, 1498, 1527, 1525, 1608, 1600, 1499, 1583, 1534, 1514, 1552, 1522, 1522, 1547, 1506, 1529, 1539, 1496, 1510, 1548, 1535, 1505, 1518, 1511
415000,1654, 1639, 1699, 1647, 1666, 1659, 1636, 1664, 1681, 1653, 1623, 1614, 1616, 1638, 1631, 1630, 1641, 1637, 1640, 1670, 1665, 1694, 1706, 1603, 1646
430000,1705, 1664, 1656, 1660, 1655, 1697, 1685, 1678, 1676, 1659, 1711, 1694, 1639, 1651, 1670, 1649, 1670, 1666, 1646, 1652, 1667, 1650, 1652, 1670, 1653
445000,1681, 1657, 1607, 1682, 1696, 1684, 1708, 1675, 1685, 1598, 1731, 1706, 1672, 1695, 1706, 1697, 1708, 1699, 1682, 1694, 1703, 1674, 1754, 1646, 1673
460000,1893, 1895, 1772, 1853, 1841, 1871, 1785, 1865, 1865, 1902, 1813, 1868, 1843, 1852, 1838, 1878, 1848, 1838, 1888, 1825, 1829, 1849, 1905, 1824, 1840
475000,1864, 1844, 1925, 1891, 1896, 1909, 1870, 1940, 1889, 1889, 1867, 1911, 1896, 1904, 1876, 1903, 1887, 1880, 1923, 1885, 1918, 1882, 1858, 1885, 1878
490000,1844, 1821, 1851, 1862, 1870, 1884, 1862, 1961, 1873, 1892, 1848, 1809, 1852, 1841, 1907, 1821, 1852, 1825, 1839, 1879, 1850, 1785, 1878, 1834, 1936
