10000,15, 11, 12, 12, 11, 12, 12, 11, 12, 12, 11, 12, 12, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11
25000,37, 37, 37, 38, 38, 37, 38, 36, 38, 38, 37, 38, 38, 38, 37, 37, 39, 40, 39, 39, 37, 41, 37, 37, 38
40000,63, 61, 61, 61, 61, 62, 60, 61, 61, 61, 61, 61, 60, 61, 61, 60, 62, 61, 60, 58, 59, 60, 60, 59, 58
55000,104, 97, 101, 102, 102, 102, 102, 102, 102, 105, 105, 102, 107, 104, 103, 106, 102, 101, 103, 103, 105, 102, 103, 102, 103
70000,129, 121, 124, 124, 123, 121, 124, 124, 125, 126, 127, 124, 126, 124, 123, 125, 129, 125, 127, 122, 124, 123, 123, 124, 128
85000,171, 170, 176, 167, 169, 171, 170, 171, 168, 170, 172, 173, 171, 173, 171, 172, 172, 173, 169, 167, 171, 171, 171, 168, 169
100000,205, 208, 206, 208, 207, 203, 206, 206, 208, 205, 208, 208, 209, 206, 206, 207, 207, 206, 206, 208, 203, 211, 203, 206, 203
115000,263, 254, 250, 250, 250, 250, 251, 250, 252, 252, 251, 253, 254, 254, 258, 256, 259, 253, 256, 256, 259, 253, 256, 255, 258
130000,310, 308, 312, 309, 310, 311, 305, 304, 317, 304, 309, 305, 307, 312, 307, 302, 307, 314, 310, 309, 308, 304, 305, 306, 308
145000,302, 310, 312, 311, 307, 311, 310, 310, 307, 311, 309, 313, 306, 307, 311, 316, 309, 312, 307, 310, 310, 312, 307, 311, 308
160000,336, 341, 345, 330, 357, 344, 353, 336, 357, 341, 337, 338, 334, 356, 339, 335, 339, 357, 336, 340, 358, 343, 343, 354, 338
175000,417, 397, 397, 396, 400, 393, 393, 400, 396, 400, 402, 400, 400, 394, 400, 394, 392, 407, 396, 395, 406, 396, 394, 397, 396
190000,437, 439, 433, 426, 439, 439, 437, 434, 425, 441, 436, 438, 430, 434, 419, 437, 439, 420, 435, 435, 428, 424, 432, 430, 428
205000,495, 502, 503, 508, 508, 506, 505, 490, 510, 488, 510, 505, 507, 507, 502, 504, 505, 505, 510, 489, 508, 492, 507, 509, 498
220000,512, 533, 522, 533, 530, 535, 535, 532, 536, 537, 534, 523, 543, 532, 520, 537, 532, 519, 528, 531, 532, 525, 535, 534, 535
235000,635, 627, 626, 625, 617, 631, 621, 607, 631, 627, 627, 624, 612, 630, 625, 625, 623, 625, 625, 617, 602, 626, 626, 622, 629
250000,660, 658, 646, 660, 663, 659, 649, 661, 651, 648, 645, 659, 656, 663, 661, 645, 658, 655, 656, 642, 658, 663, 659, 644, 648
265000,606, 625, 611, 617, 630, 614, 625, 625, 631, 618, 621, 619, 616, 615, 618, 629, 608, 614, 628, 622, 619, 621, 620, 630, 620
280000,772, 758, 757, 759, 765, 752, 765, 774, 758, 772, 755, 769, 760, 759, 757, 753, 768, 760, 767, 777, 760, 754, 759, 759, 756
295000,745, 740, 744, 746, 743, 754, 753, 756, 748, 744, 739, 741, 745, 742, 748, 741, 748, 745, 743, 738, 743, 744, 748, 740, 743
310000,904, 882, 872, 899, 906, 874, 895, 891, 900, 890, 890, 894, 893, 893, 896, 894, 901, 893, 897, 900, 899, 895, 896, 901, 887
325000,884, 878, 890, 873, 886, 890, 897, 902, 877, 880, 895, 875, 885, 891, 869, 885, 871, 877, 882, 886, 898, 892, 883, 890, 868
340000,924, 929, 924, 916, 914, 916, 921, 923, 919, 921, 936, 942, 929, 928, 925, 930, 925, 919, 909, 914, 923, 928, 924, 920, 925
355000,1044, 1066, 1043, 1038, 1029, 1044, 1042, 1045, 1050, 1041, 1028, 1025, 1041, 1038, 1047, 1036, 1027, 1049, 1037, 1045, 1020, 1018, 1017, 1030, 1049
370000,945, 929, 944, 945, 941, 935, 931, 931, 931, 930, 925, 922, 924, 910, 923, 912, 928, 918, 921, 927, 935, 925, 925, 922, 915
385000,961, 955, 962, 967, 966, 980, 982, 964, 970, 972, 970, 965, 991, 970, 969, 973, 1003, 963, 987, 978, 977, 976, 978, 978, 978
